Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60
16,,自用發電廠,230076.038,,230076.038,,,,,,,,,,2397.818182,,,,,,,,,,,,,,,698.2888815,1699.5293,,,,,,,,1845.438566,1845.438566,,193699.4522,143162.5974,123558.245,,19604.35237,50536.85479,,352.87047,8363.97214,886852.8951,195.781408,,,,1323784.266,16,,AutoproducerElectricityPlants
17,,公用汽電共生廠,395012.1812,,395012.1812,,,,,,,,,,862.05539,,,,,,,,,,,,,,,185.60979,676.4456,,,,,,,,21690.53351,,21690.53351,55693.31767,1373.428957,1373.428957,,,54319.88871,,,,,,,,,473258.0878,17,,PublicCogenerationPlants
18,,自用汽電共生廠,6804702.753,,6008955.417,,,,,,,288490.8446,409692.3156,97564.17563,164593.8193,,40594.63007,,65491.24749,6239.447681,,,,,,,,,,1504.710151,48597.9645,,,,,,,2165.819459,203831.0837,778.417075,203052.6666,1248054.31,10092.001,8981.618871,,1110.382125,1237962.309,,,,,,,,,8421181.966,18,,AutoproducerCogenerationPlants
19,+,轉變產出合計,6279580.882,,,,,,,3525147.918,,1091916,1434382.298,228134.666,45100996.18,,,264681.2232,2032681.012,910767.4883,,,8573752.115,9914858.906,9914858.906,,,4013790.914,2848.0015,12856307.41,3460463.49,,760007.9266,473438.0155,50799.73583,,865328.8525,921271.0969,26758028.84,1726823.452,25031205.39,,,,,,,,264476.8516,,,,24868908.35,,1706056.406,104978047.5,19,+,TransformationOutputTotal
20,,轉變產出,6279580.882,,,,,,,3525147.918,,1091916,1434382.298,228134.666,43052479.34,,,264681.2232,2032681.012,806930.3001,,,8573752.115,8109676.816,8216517.292,,,4013790.914,2848.0015,12793042.13,3460463.49,,760007.9266,473438.0155,50799.73583,,865328.8525,845038.8096,,,,,,,,,,,264476.8516,,,,24868908.35,,1706056.406,76171501.83,20,,TransformationOutput
21,,產品間轉換(轉入),,,,,,,,,,,,,2048516.842,,,,,103837.1883,,,,1805182.09,1698341.615,,,,,63265.27616,,,,,,,,76232.28735,26758028.84,1726823.452,25031205.39,,,,,,,,,,,,,,,28806545.68,21,,Transfers(Output)
22,-,能源部門自用,995345.3218,,,,,,,,,183249.5595,748700.8952,63394.86705,2670526.743,,22395.96891,,1967189.765,124968.7701,,,,2816.379872,2816.379872,,,,0.7616,26381.06375,97350.77297,,,,,,417740.3208,11682.94054,643816.6281,19733.67675,624082.9514,,,,,,,,,,,,1591344.608,,334052.6205,6235085.922,22,-,EnergySectorOwnUse
23,,煤礦業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.316826,,,11.316826,23,,CoalMining
24,,煉焦工場/煤製品業,478770.6674,,,,,,,,,150071.691,265304.1094,63394.86705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.1098544,,,479179.7773,24,,CokeOvens/ManufactureofCoalProducts
25,,高爐工場,516574.6543,,,,,,,,,33177.8685,483396.7858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516574.6543,25,,BlastFurnaces
26,,石油及天然氣礦業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2664.563198,,,2664.563198,26,,OilandGasExtraction
27,,煉油廠,,,,,,,,,,,,,2667886.85,,22395.96891,,1967189.765,124968.7701,,,,1618.430336,1618.430336,,,,0.7616,26243.9196,96045.97297,,,,,,417740.3208,11682.94054,642769.8387,19651.54473,623118.294,,,,,,,,,,,,197487.3798,,324938.3207,3833082.389,27,,PetroleumRefineries
28,,發電廠,,,,,,,,,,,,,1181.442384,,,,,,,,,1181.442384,1181.442384,,,,,,,,,,,,,,55.5021434,55.5021434,,,,,,,,,,,,,910002.9004,,,911239.8449,28,,ElectricityPlants
29,,抽水用電,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317545.196,,,317545.196,29,,ElectricitytoPumpUp
30,,汽電共生廠,,,,,,,,,,,,,1435.034376,,,,,,,,,0.799376,0.799376,,,,,129.435,1304.8,,,,,,,,964.6232735,,964.6232735,,,,,,,,,,,,118425.2073,,9114.2998,129939.1647,30,,CogenerationPlants
31,,氣體燃料供應業,,,,,,,,,,,,,23.4169246,,,,,,,,,15.707776,15.707776,,,,,7.7091486,,,,,,,,,26.6640181,26.6298736,0.0341445,,,,,,,,,,,,44798.93493,,,44849.01587,31,,GasCompanies
32,-,損耗,65473.41249,,,,,,,55199.72113,,33.14346,8235.027352,2005.520544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641097.0624,,,706570.4749,32,-,Losses
33,=,最終消費,4145007.053,,2509309.962,24221.19276,,,,658409.2835,,620142.4524,267754.0597,65170.10274,29818123.95,,167030.4194,29097.144,,1930822.305,,,12974197.09,7141705.601,7141705.601,,,253678.7519,3748.0631,5259483.04,455828.4137,,399431.6905,371439.8018,55402.86968,19985.29412,8293.676762,747979.7839,4796410.294,1704093.165,3092317.129,349870.874,24410.85183,22876.12716,20.2902,1514.434467,325460.0222,,,,,,22819382.51,,1372003.786,63300798.46,33,=,TotalFinalConsumption
34,,能源消費,3996867.297,,2509309.962,2.1868,,,,534488.5336,,620142.4524,267754.0597,65170.10274,14451373.98,,167030.4194,,,1160308.144,,,,7141705.601,7141705.601,,,253678.7519,3748.0631,5259483.04,455828.4137,,,,,,,9591.548769,4796410.294,1704093.165,3092317.129,349870.874,24410.85183,22876.12716,20.2902,1514.434467,325460.0222,,,,,,22819382.51,,1372003.786,47785908.74,34,,EnergyConsumption
35,,工業部門,3996867.297,,2509309.962,2.1868,,,,534488.5336,,620142.4524,267754.0597,65170.10274,764020.2838,,167030.4194,,,151148.8954,,,,4362.564816,4362.564816,,,2170.282246,,97367.00435,332349.5688,,,,,,,9591.548769,3640912.99,714655.1461,2926257.844,349850.5838,24390.56163,22876.12716,,1514.434467,325460.0222,,,,,,13464192.74,,1372003.786,23587847.68,35,,IndustrialSector
36,,砂、石採取及其他礦業(不含煤、油、氣),,,,,,,,,,,,,4532.368304,,,,,1505.567104,,,,,,,,,,1749.9612,1276.84,,,,,,,,,,,,,,,,,,,,,,23379.62047,,,27911.98878,36,,"MiningandQuarrying(excludingcoal,oilandgas)"
37,,食品飲料及菸草製造業,6982.491296,,6982.491296,,,,,,,,,,47348.36316,,,,,20022.65571,,,,50.226832,50.226832,,,,,13644.67269,13630.80793,,,,,,,,294837.9434,65747.6079,229090.3355,14895.40254,14895.40254,14895.40254,,,,,,,,,447535.1909,,19999.72804,831599.1193,37,,"Food,BeverageandTobacco"
38,,紡織成衣及服飾品製造業,152763.8914,,152763.8914,,,,,,,,,,21338.86957,,,,,5427.286212,,,,2.562816,2.562816,,,,,230.73946,15678.28108,,,,,,,,200629.2189,66986.13127,133643.0876,,,,,,,,,,,,355556.034,,41811.97115,772099.985,38,,"Textile,WearingApparelandAccessories"
39,,皮革、毛皮及其製品製造業,,,,,,,,,,,,,1891.253295,,,,,1430.286095,,,,,,,,,,,460.9672,,,,,,,,7282.082417,1162.168446,6119.913972,,,,,,,,,,,,10232.98606,,2.704762,19409.02653,39,,LeatherandFur
40,,木竹製品及家具製造業,,,,,,,,,,,,,2026.368217,,,,,139.0869743,,,,4.501472,4.501472,,,,,9.6756977,1873.104073,,,,,,,,5271.978833,2018.832704,3253.146129,,,,,,,,,,,,30903.02405,,,38201.3711,40,,"Wood,BambooandFurniture"
41,,紙漿、紙及紙製品製造業,377828.1698,,377828.1698,,,,,,,,,,22815.1767,,,,,1369.415505,,,,34.413024,34.413024,,,,,408.988713,21002.35945,,,,,,,,64601.61469,14967.90789,49633.7068,42310.27544,9080.827133,7944.55891,,1136.268224,33229.44831,,,,,,287152.5619,,5939.389774,800647.1883,41,,"Pulp,PaperandPaperProducts"
42,,印刷及資料儲存媒體複製業,,,,,,,,,,,,,1938.219014,,,,,1713.164227,,,,5.6588,5.6588,,,,,98.2359876,121.16,,,,,,,,6251.34018,2461.989698,3789.350482,,,,,,,,,,,,43395.69391,,,51585.25311,42,,PrintingandReproductionofRecordedMedia
43,,化學材料及肥料製造業,1262210.481,,1262210.481,,,,,,,,,,381192.9674,,167030.4194,,,44444.97202,,,,7.40344,7.40344,,,7.3503,,48422.34818,121280.4741,,,,,,,,850016.5528,112416.5286,737600.0242,534.7004943,414.3319486,36.16570483,,378.1662437,120.3685457,,,,,,2449214.974,,1203721.049,6146890.725,43,,ChemicalMaterialandFertilizers
44,,化學原材料製造業,1111546.901,,1111546.901,,,,,,,,,,322182.9882,,160926.4295,,,42059.46301,,,,,,,,,,46678.23034,72518.86534,,,,,,,,553165.011,11554.53904,541610.472,378.1662437,378.1662437,,,378.1662437,,,,,,,1813923.93,,1117421.454,4918618.45,44,,RawChemicalMaterials
45,,(基本化學工業),45644.45109,,45644.45109,,,,,,,,,,8555.737599,,,,,3489.418447,,,,,,,,,,,5066.319151,,,,,,,,146569.9506,5631.827509,140938.1231,,,,,,,,,,,,526064.1133,,270570.4434,997404.6959,45,,(BasicIndustrialChemicals)
46,,(石油化工原料製造業),1065902.45,,1065902.45,,,,,,,,,,313627.2506,,160926.4295,,,38570.04457,,,,,,,,,,46678.23034,67452.54619,,,,,,,,406595.0604,5922.711533,400672.3489,378.1662437,378.1662437,,,378.1662437,,,,,,,1287859.816,,846851.011,3921213.755,46,,(PetrochemicalMaterials)
47,,肥料及氮化合物製造業,,,,,,,,,,,,,24.7912,,,,,,,,,,,,,,,,24.7912,,,,,,,,7343.475523,3577.871228,3765.604295,,,,,,,,,,,,14709.13083,,,22077.39755,47,,FertilizersandNitrogenCompounds
48,,人造纖維製造業,142316.7215,,142316.7215,,,,,,,,,,16275.47691,,234.3944281,,,,,,,,,,,,,91.82225136,15949.26023,,,,,,,,61378.91389,29541.65668,31837.2572,36.16570483,36.16570483,36.16570483,,,,,,,,,290386.4852,,62765.5086,573159.2718,48,,ArtificialFibers
49,,塑膠及合成橡膠原料製造業,8346.858714,,8346.858714,,,,,,,,,,42702.36087,,5869.595469,,,2385.509005,,,,7.40344,7.40344,,,,,1652.295589,32787.55737,,,,,,,,210199.4344,62541.88685,147657.5476,120.3685457,,,,,120.3685457,,,,,,278329.859,,345.831759,540044.7133,49,,PlasticandSyntheticRubberMaterials
50,,其他化學材料及肥料製造業,,,,,,,,,,,,,7.3503,,,,,,,,,,,,,7.3503,,,,,,,,,,,17929.71798,5200.574833,12729.14314,,,,,,,,,,,,51865.56951,,23188.25455,92990.89233,50,,OtherChemicalMaterials
51,,化學製品及醫藥用品製造業,12712.9552,,12712.9552,,,,,,,,,,18370.59817,,,,,9130.249438,,,,4.22248,4.22248,,,,,1541.248125,7694.878124,,,,,,,,89555.20119,32162.5525,57392.64869,,,,,,,,,,,,120078.7128,,11270.0888,251987.5561,51,,MedicinalandotherChemicalProducts
52,,橡膠製品製造業,,,,,,,,,,,,,2351.343803,,,,,1721.191558,,,,4.469888,4.469888,,,,,27.897557,597.7848,,,,,,,,57504.21099,12597.60674,44906.60425,,,,,,,,,,,,72905.33175,,,132760.8865,52,,RubberProducts
53,,塑膠製品製造業,,,,,,,,,,,,,16115.12378,,,,,6664.283786,,,,16.717712,16.717712,,,1.96008,,431.6337977,9000.528405,,,,,,,,211792.8206,28923.34552,182869.475,,,,,,,,,,,,377831.0663,,51555.24741,657294.258,53,,PlasticProducts
54,,非金屬礦物製品製造業,685105.9008,,685105.9008,,,,,,,,,,99936.91091,,,,,5783.912675,,,,19.46928,19.46928,,,,,11460.94978,82672.57917,,,,,,,,328852.2151,158009.1114,170843.1037,,,,,,,,,,,,471231.6385,,,1585126.665,54,,Non-metallicMineralProducts
55,,水泥及其製品製造業,666129.159,,666129.159,,,,,,,,,,25322.94738,,,,,48.742398,,,,14.519616,14.519616,,,,,10437.86103,14821.82434,,,,,,,,17436.62077,5182.762944,12253.85783,,,,,,,,,,,,152419.0918,,,861307.819,55,,CementandCementProducts
56,,其他,18976.74178,,18976.74178,,,,,,,,,,74613.96353,,,,,5735.170277,,,,4.949664,4.949664,,,,,1023.088756,67850.75483,,,,,,,,311415.5943,152826.3484,158589.2458,,,,,,,,,,,,318812.5467,,,723818.8463,56,,Others
57,,(耐火、黏土建材及其他陶瓷製品製造業),,,,,,,,,,,,,14710.02262,,,,,4563.989021,,,,,,,,,,303.7408,9842.2928,,,,,,,,131094.3761,106308.17,24786.20608,,,,,,,,,,,,35677.20114,,,181481.5999,57,,(PorcelainandCeramicProducts)
58,,(玻璃及其製品製造業),,,,,,,,,,,,,41340.2252,,,,,1171.181256,,,,4.949664,4.949664,,,,,658.944956,39505.14932,,,,,,,,140226.6008,41564.61575,98661.98508,,,,,,,,,,,,237558.0497,,,419124.8758,58,,(GlassandGlassProducts)
59,,基本金屬製造業,1487557.335,,,2.1868,,,,534488.5336,,620142.4524,267754.0597,65170.10274,70916.94505,,,,,20452.36111,,,,222.835648,222.835648,,,4.9002,,4622.145423,36023.1539,,,,,,,9591.548769,611746.3317,34030.04778,577716.2839,,,,,,,,,,,,1583149.705,,7796.9668,3761167.284,59,,BasicMetals
60,,鋼鐵製造業,1487557.335,,,2.1868,,,,534488.5336,,620142.4524,267754.0597,65170.10274,43246.87997,,,,,14491.05319,,,,222.835648,222.835648,,,4.9002,,4622.145423,14314.39675,,,,,,,9591.548769,523396.0084,21296.05779,502099.9506,,,,,,,,,,,,1324001.876,,4374.26,3382576.36,60,,IronandSteel
61,,非鐵金屬製造業,,,,,,,,,,,,,27670.06508,,,,,5961.307924,,,,,,,,,,,21708.75716,,,,,,,,88350.32336,12733.98999,75616.33337,,,,,,,,,,,,259147.8289,,3422.7068,378590.9241,61,,Others
62,,(鋁製造業),,,,,,,,,,,,,21939.29149,,,,,5959.379892,,,,,,,,,,,15979.9116,,,,,,,,61050.46655,4333.057735,56717.40881,,,,,,,,,,,,72503.41195,,3422.7068,158915.8768,62,,(Aluminum)
63,,金屬製品製造業,,,,,,,,,,,,,21750.60631,,,,,17189.25903,,,,1.253584,1.253584,,,15.5173,,736.4989564,3808.07744,,,,,,,,193651.1521,20379.95868,173271.1934,,,,,,,,,,,,546013.1373,,810.288866,762225.1846,63,,FabricatedMetalProducts
64,,機械設備製造及維修業,,,,,,,,,,,,,5724.769024,,,,,2812.049675,,,,146.13992,146.13992,,,1700.007602,,300.3746271,766.1972,,,,,,,,13894.71409,6754.745104,7139.968989,,,,,,,,,,,,223055.0267,,,242674.5098,64,,MachineryandEquipments
65,,電子產品及電力設備製造業,11706.0717,,11706.0717,,,,,,,,,,6792.533477,,,,,2341.193778,,,,193.321904,193.321904,,,,,3196.656195,1061.3616,,,,,,,,400048.0022,133817.0743,266230.9279,,,,,,,,,,,,5671962.77,,28861.66404,6119371.041,65,,ElectronicProductsandElectricalEquipment
66,,(電子零組件製造業),,,,,,,,,,,,,4342.609762,,,,,1135.501821,,,,31.489248,31.489248,,,,,3175.618693,,,,,,,,,316748.9929,130552.7616,186196.2313,,,,,,,,,,,,5367555.735,,28861.66404,5717509.002,66,,(ElectronicPartsandComponents)
67,,運輸工具及其零件製造業,,,,,,,,,,,,,15515.08362,,,,,8667.945123,,,,3180.474208,3180.474208,,,433.6864841,,1737.024603,1495.9532,,,,,,,,33744.15889,15485.34203,18258.81686,,,,,,,,,,,,205094.828,,,254354.0705,67,,TransportEquipmentsandParts
68,,精密光學醫學設備及鐘錶製造業,,,,,,,,,,,,,31.4117676,,,,,31.4117676,,,,,,,,,,,,,,,,,,,80.9383088,34.7863263,46.1519825,,,,,,,,,,,,106607.0686,,,106719.4187,68,,"Precision,Optical,MedicalEquipment,WatchesandClocks"
69,,其他製造業,,,,,,,,,,,,,597.2136311,,,,,7.90710012,,,,19.087264,19.087264,,,,,10.553267,559.666,,,,,,,,254916.4275,5049.044464,249867.3831,,,,,,,,,,,,96207.73091,,234.6868,351956.0589,69,,NotelsewherespecifiedManufacturing
70,,用水供應及污染整治業,,,,,,,,,,,,,10478.49745,,,,,,,,,307.001744,307.001744,,,,,1326.635404,8844.8603,,,,,,,,12869.09081,290.0003612,12579.09045,292110.2054,,,,,292110.2054,,,,,,241983.9705,,,557441.7641,70,,WaterSupplyandRemediationActivities
71,,營建工程業,,,,,,,,,,,,,12355.6611,,,,,294.6965383,,,,142.8048,142.8048,,,6.86028,,7410.764683,4500.5348,,,,,,,,142.6086405,53.26299,89.3456505,,,,,,,,,,,,100701.6661,,,113199.9359,71,,Construction
72,,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3224.386804,1307.101338,1917.285466,,,,,,,,,,,,,,,3224.386804,72,,Non-Specified
73,,運輸部門,,,,,,,,,,,,,11385483.01,,,,,5725.998264,,,,7097506.105,7097506.105,,,66056.08684,,4175679.963,40514.86109,,,,,,,,,,,20.2902,20.2902,,20.2902,,,,,,,,164074.1412,,,11549577.45,73,,TransportSector
74,,國內航空,,,,,,,,,,,,,66056.08684,,,,,,,,,,,,,66056.08684,,,,,,,,,,,,,,,,,,,,,,,,,,,,66056.08684,74,,DomesticAir
75,,公路,,,,,,,,,,,,,11230388.98,,,,,5725.998264,,,,7097506.105,7097506.105,,,,,4127156.879,,,,,,,,,,,,20.2902,20.2902,,20.2902,,,,,,,,32193.55983,,,11262602.83,75,,Road
76,,鐵路,,,,,,,,,,,,,6982.602332,,,,,,,,,,,,,,,6982.602332,,,,,,,,,,,,,,,,,,,,,,,129407.2403,,,136389.8426,76,,Rail
77,,管線運輸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473.341101,,,2473.341101,77,,PipelineTransport
78,,國內水運,,,,,,,,,,,,,82055.34341,,,,,,,,,,,,,,,41540.48232,40514.86109,,,,,,,,,,,,,,,,,,,,,,,,,82055.34341,78,,InternalNavigation
79,,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,Non-Specified
80,,農業部門,,,,,,,,,,,,,517993.4117,,,,,,,,,7697.630672,7697.630672,,,121.6883,,495935.4627,14238.63,,,,,,,,3350.804652,,3350.804652,,,,,,,,,,,,292732.1951,,,814076.4115,80,,AgricultureSector
81,,農牧及林業,,,,,,,,,,,,,67785.39079,,,,,,,,,7697.630672,7697.630672,,,,,59012.60492,1075.1552,,,,,,,,3350.804652,,3350.804652,,,,,,,,,,,,206108.6752,,,277244.8706,81,,"Agriculture,AnimalHusbandryandForestry"
82,,漁業,,,,,,,,,,,,,450208.0209,,,,,,,,,,,,,121.6883,,436922.8578,13163.4748,,,,,,,,,,,,,,,,,,,,,,86623.51995,,,536831.5409,82,,FishingandAquaculture
83,,服務業部門,,,,,,,,,,,,,996811.1225,,,,,216367.1006,,,,32139.30086,32139.30086,,,185330.6945,3748.0631,490500.6096,68725.3538,,,,,,,,413370.9349,312159.6548,101211.2801,,,,,,,,,,,,4302357.66,,,5712539.718,83,,ServiceSector
84,,批發及零售業,,,,,,,,,,,,,186624.0627,,,,,107.189949,,,,,,,,,,145520.6718,40996.20088,,,,,,,,24947.19018,22728.47794,2218.712237,,,,,,,,,,,,1044934.86,,,1256506.113,84,,WholesaleandRetail
85,,運輸及倉儲業,,,,,,,,,,,,,31068.75934,,,,,567.4806608,,,,2700.059008,2700.059008,,,,2494.0615,23920.34217,1386.816,,,,,,,,2276.620107,2188.082543,88.537564,,,,,,,,,,,,315420.47,,,348765.8495,85,,TransportationandStorage
